Name,MP ,GS ,A ,CS ,GC ,OG ,PS ,PM ,YC ,RC ,S ,B ,ESP ,BPS ,TP ,Team,Score,Opponent,H/A,GW,Pos,Difficulty rank,Difficulty desc,PID,Own%,Date,KO time,Season start price,Season end price
Brady,20,0,0,0,1,0,0,0,0,0,0,0,3,8,1,HUL,0 - 3,NEW,Home,23,MID,11,Average,165,0.1%,31/01/2015,12:45,5.0,4.4
Meyler,55,0,0,0,2,0,0,0,1,0,0,0,5,3,0,HUL,0 - 3,NEW,Home,23,MID,11,Average,166,0.0%,31/01/2015,12:45,5.0,4.7
Elmohamady,90,0,0,0,3,0,0,0,1,0,0,0,8,8,1,HUL,0 - 3,NEW,Home,23,MID,11,Average,167,2.1%,31/01/2015,12:45,5.0,5.0
Huddlestone,90,0,0,0,3,0,0,0,0,0,0,0,18,14,2,HUL,0 - 3,NEW,Home,23,MID,11,Average,169,1.3%,31/01/2015,12:45,5.5,5.3
Livermore,90,0,0,0,3,0,0,0,1,0,0,0,14,11,1,HUL,0 - 3,NEW,Home,23,MID,11,Average,170,0.5%,31/01/2015,12:45,5.5,5.1
Aluko,35,0,0,0,1,0,0,0,0,0,0,0,15,3,1,HUL,0 - 3,NEW,Home,23,MID,11,Average,171,0.1%,31/01/2015,12:45,5.0,4.4
Ince,24,0,0,0,1,0,0,0,0,0,0,0,1,3,1,HUL,0 - 3,NEW,Home,23,MID,11,Average,172,0.5%,31/01/2015,12:45,5.5,5.0
Ramírez,90,0,0,0,3,0,0,0,0,0,0,0,11,18,2,HUL,0 - 3,NEW,Home,23,MID,11,Average,352,0.1%,31/01/2015,12:45,5.5,5.4
Jelavic,90,0,0,0,3,0,0,0,0,0,0,0,3,-2,2,HUL,0 - 3,NEW,Home,23,FWD,11,Average,174,1.0%,31/01/2015,12:45,6.0,5.6
Hernández,66,0,0,0,2,0,0,0,0,0,0,0,-1,2,2,HUL,0 - 3,NEW,Home,23,FWD,11,Average,594,0.1%,31/01/2015,12:45,7.0,6.3
Speroni,90,0,0,0,1,0,0,0,0,0,1,0,3,8,2,CRY,0 - 1,EVE,Home,23,GKP,8,Favourable,104,2.6%,31/01/2015,15:00,5.0,4.8
Ward,90,0,0,0,1,0,0,0,0,0,0,0,5,17,2,CRY,0 - 1,EVE,Home,23,DEF,8,Favourable,106,2.5%,31/01/2015,15:00,5.0,4.7
